"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MFN";"OC-DIGIKEY";"OC-MOUSER";"OC-NEWARK";"TP_SIGNAL_NAME";
"3";"100nF";"C0402";"0402";"C20, C21, C22";"Capacitor";"";"";"";"";"";"";
"2";"100nF";"CAPACITOR0402";"0402";"C18, C19";"Capacitor";"";"";"";"";"";"";
"1";"10k";"R0402";"0402";"R12";"Resistor";"";"";"";"";"";"";
"1";"1k";"RESISTOR0603";"0603";"R15";"Resistor";"";"";"";"";"";"";
"2";"22pF";"C0603";"0603";"C16, C17";"Capacitor";"";"";"";"";"";"";
"1";"32.768kHz";"GENERIC-CRYSTAL_FC135";"FC135";"Q3";"GENERIC Crystal";"";"";"";"";"";"";
"4";"4k7";"RESISTOR0402";"0402";"R1, R2, R13, R14";"Resistor";"";"";"";"";"";"";
"1";"ATECC608A";"ATECC608A";"SO8";"IC4";"";"";"";"";"";"";"";
"1";"CSTCE8M00G55-R0";"CSTCE8M00G55-R0";"CSTCE8M00G55-R0";"Q1";"Resonator Cermanic, Murata 8MHz 33pF";"Murata";"CSTCE8M00G55-R0";"490-1195-1-ND";"81-CSTCE8M00G55-R0";"2443270";"";
"1";"GREEN";"SMD_LED0603";"CHIPLED_0603";"LED1";"LED SMD, Colour Red";"Wurth Electronics Inc";"150060RS75000";"732-4978-1-ND";"710-150060RS75000";"2322071";"";
"1";"MODULE_DAUGHTER";"MODULE_DAUGHTER";"MODULE_DAUGHTER";"MOD1";"";"";"";"";"";"";"";
"1";"MX25R3235FM1IH0";"MX25R3235FM1IH0";"SO8";"U2";"Serial Flash 32 Mb 80 Mhz";"Macronix";"MX25R3235FM1IH0";"1092-1175-ND";"";"";"";
"43";"PTR1TP06R";"PTR1TP06R";"TP06R";"TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP41, TP42, TP43, TP44, TP45";"TEST PIN";"";"";"";"";"";"";
"1";"STM32L475VGT6";"STM32L475VGT6";"QFP50P1600X1600X160-100N";"U1";"";"";"";"";"";"";"";
"1";"TC2030-CTX-NL";"TC2030-CTX-NL";"TC2030-CTX-NL";"CON2";"Tag-Connect In Circuit Programming & Debug Cable 6 Pin";"";"";"";"";"";"";
"2";"TEST-POINT-50R-PTH";"TEST-POINT-50R-PTH";"TP50-PTH";"TP1, TP2";"";"";"";"";"";"";"";
